,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
0,2014-02-19,,,,,,,1.0,
1,2014-02-20,,,,,,,1.0,
2,2014-02-21,,,,,,,2.0,
3,2014-02-22,,,,,,,5.0,
4,2014-02-23,,,,,,,6.0,
5,2014-02-24,,,,,,,7.0,
6,2014-02-26,,,,,,,16.0,
7,2014-02-27,,,,,,,17.0,
8,2014-02-28,,,,,,,18.0,
9,2014-03-01,,,,,,,22.0,
10,2014-03-02,,,,,,,22.0,
11,2014-03-03,,,,,,,22.0,
12,2014-03-04,,,,,,,23.0,
13,2014-03-05,,,,,,,1.0,
14,2014-03-07,,,,,,,37.0,
15,2014-03-08,,,,,,,40.0,
16,2014-03-09,,,,,,,7.0,
17,2014-03-10,,,,,,,34.0,
18,2014-03-12,,,,,,,34.0,
19,2014-03-14,,,,,,,46.0,
20,2014-03-15,5.5,0.25,,,0.0,0.0,51.0,
21,2014-03-16,,,,,,,42.0,
22,2014-03-18,,,,,,,42.0,
23,2014-03-19,,,,,,,42.0,
24,2014-03-20,,,,,,,42.0,
25,2014-03-21,,,,,,,43.0,
26,2014-03-25,,,,,,,54.0,
27,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,735.716,-0.2,0.16000000000000003,45.0,
28,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,147981.435,-0.2,0.16000000000000003,45.0,
29,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,195216.58000000002,-0.2,0.16000000000000003,45.0,
30,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,235583.246,-0.2,0.16000000000000003,45.0,
31,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,241475.535,-0.2,0.16000000000000003,45.0,
32,2014-03-27,6.4,0.6399999999999999,6065.7110004425085,359356.381,-0.2,0.16000000000000003,45.0,
33,2014-03-28,6.625,0.734375,16535.46300077439,5589.642,0.125,0.359375,53.0,
34,2014-03-28,6.625,0.734375,16535.46300077439,150461.38900000002,0.125,0.359375,53.0,
35,2014-03-28,6.625,0.734375,16535.46300077439,199007.666,0.125,0.359375,53.0,
36,2014-03-28,6.625,0.734375,16535.46300077439,235646.784,0.125,0.359375,53.0,
37,2014-03-28,6.625,0.734375,16535.46300077439,245037.871,0.125,0.359375,53.0,
38,2014-03-28,6.625,0.734375,16535.46300077439,359364.441,0.125,0.359375,53.0,
39,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,12134.380000000001,0.36363636363636365,0.4132231404958678,57.0,
40,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,151771.249,0.36363636363636365,0.4132231404958678,57.0,
41,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,199951.325,0.36363636363636365,0.4132231404958678,57.0,
42,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,235690.23,0.36363636363636365,0.4132231404958678,57.0,
43,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,246176.788,0.36363636363636365,0.4132231404958678,57.0,
44,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,348083.856,0.36363636363636365,0.4132231404958678,57.0,
45,2014-03-29,6.545454545454546,0.6115702479338844,26490.020000219352,359356.381,0.36363636363636365,0.4132231404958678,57.0,
