date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,4.0,,,,,,,,,,0
2014-02-18,,,,,,5.0,,,,,,,,,,1
2014-02-19,,,,,,10.0,,,,,,,,,,2
2014-02-21,,,,,,12.0,,,,,,,,,,4
2014-02-24,,,,,,28.0,,,,,,,,,,0
2014-02-25,,,,,,33.0,,,,,,,,,,1
2014-02-26,,,,,,33.0,,,,,,,,,,2
2014-02-27,,,,,,33.0,,,,,,,,,,3
2014-02-28,,,,,,37.0,,,,,,,,,,4
2014-03-01,,,,,,38.0,,,,,,,,,,5
2014-03-02,,,,,,38.0,,,,,,,,,,6
2014-03-03,,,,,,51.0,,,,,,,,,,0
2014-03-04,,,,,,55.0,,,,,,,,,,1
2014-03-05,,,,,,56.0,,,,,,,,,,2
2014-03-06,,,,,,61.0,,,,,,,,,,3
2014-03-07,,,,,,71.0,,,,,,,,,,4
2014-03-08,,,,,,75.0,,,,,,,,,,5
2014-03-09,,,,,,77.0,,,,,,,,,,6
2014-03-10,,,,,,79.0,,,,,,,,,,0
2014-03-11,,,,,,86.0,,,,,,,,,,1
2014-03-12,,,,,,93.0,,,,,,,,,,2
2014-03-13,,,,,,108.0,,,,,,,,,,3
2014-03-14,,,,,,114.0,,,,,,,,,,4
2014-03-15,,,,,,122.0,,,,,,,,,,5
2014-03-17,,,,,,123.0,,,,,,,,,,0
2014-03-18,,,,,,126.0,,,,,,,,,,1
2014-03-19,,,,,,128.0,,,,,,,,,,2
2014-03-20,,,,,,132.0,,,,,,,,,,3
2014-03-21,,,,,,140.0,,,,,,,,,,4
2014-03-23,,,,,,143.0,,,,,,,,,,6
2014-03-24,,,,,,143.0,,,,,,,,,,0
2014-03-26,,,,,,149.0,,,,,,,,,,2
2014-03-27,,,,,,154.0,,,,,,,,,,3
2014-03-28,,,,,,171.0,,,,,,,,,,4
2014-03-29,,,,,,5.0,,,,,,,,,,5
2014-03-30,,,,,,8.0,,,,,,,,,,6
2014-03-31,,,,,,191.0,,,,,,,,,,0
2014-04-01,,,,,,189.0,,,,,,,,,,1
2014-04-02,,,,,,192.0,,,,,,,,,,2
2014-04-03,,,,,,193.0,,,,,,,,,,3
2014-04-04,,,,,,205.0,,,,,,,,,,4
2014-04-05,,,,,,210.0,,,,,,,,,,5
2014-04-06,,,,,,227.0,,,,,,,,,,6
2014-04-07,,,,,,232.0,,,,,,,,,,0
2014-04-08,8.0,1.0,8058.661999702452,0.5,0.25,238.0,162.55100000000002,2.1778711484593836,1.0,1.0,348.156,68.551,,5442.806999999999,1089.8680000000002,1
2014-04-09,7.5,0.9166666666666666,17868.000000476837,0.16666666666666666,0.4722222222222223,247.0,593.854,4.608228291316527,0.3333333333333333,1.2222222222222223,439.683,155.19400000000002,1061.4940000000001,9080.470000000001,2928.06,2
2014-04-10,7.222222222222222,1.0617283950617284,24465.43499970436,0.3333333333333333,0.6666666666666666,18.0,593.854,6.825455182072829,0.4444444444444444,1.1358024691358024,504.11400000000003,155.19400000000002,1068.5190000000002,12129.952999999998,4778.265,3
2014-04-11,7.333333333333333,0.8888888888888888,30933.60800027847,0.16666666666666666,0.638888888888889,255.0,593.854,9.15494236156001,0.4166666666666667,1.0763888888888888,504.11400000000003,,,14696.445,8731.131,4
2014-04-12,7.3125,0.71484375,32138.32900071144,0.125,0.609375,257.0,,10.179762357225865,0.5,0.875,522.241,,,14961.52,8731.131,5
2014-04-13,7.2,0.6600000000000001,37884.72300076485,0.1,0.49000000000000005,236.0,602.899,10.662457284021913,0.5,0.75,575.975,,,16772.135,9352.041000000003,6
2014-04-14,7.083333333333333,0.7430555555555557,45663.14699983596,0.20833333333333334,0.5815972222222222,243.0,,12.028898113799698,0.4583333333333333,0.7482638888888888,,,,22142.957,10239.283000000001,0
2014-04-15,7.0,0.8148148148148148,50044.045001983635,0.14814814814814814,0.644718792866941,268.0,,13.94205474838783,0.4074074074074074,0.7599451303155007,,160.493,,24735.87,10466.672000000002,1
2014-04-16,7.064516129032258,0.7700312174817896,57574.70900154114,0.12903225806451613,0.6285119667013525,275.0,,16.4696393632451,0.4838709677419355,0.7013527575442249,727.2170000000001,160.493,1068.5190000000002,29954.684999999998,10816.728000000001,2
2014-04-17,7.0588235294117645,0.7024221453287197,75137.76100301743,0.08823529411764706,0.7275086505190311,251.0,,19.392466825217955,0.47058823529411764,0.6608996539792388,1125.511,324.629,,39446.056000000004,16453.07,3
2014-04-18,7.0,0.7027027027027027,86634.78000211716,0.05405405405405406,0.6997808619430241,293.0,602.899,21.064349538630413,0.43243243243243246,0.6778670562454348,,439.65999999999997,,47362.589,16948.311000000005,4
2014-04-19,7.05,0.6975,92698.70500326157,-0.025,0.774375,259.0,706.441,22.955878464250247,0.4,0.6399999999999999,1127.5230000000001,,,50548.672,18319.729,5
2014-04-20,7.0227272727272725,0.6585743801652892,98704.20500421524,-0.06818181818181818,0.7453512396694215,261.0,733.591,23.610703025653756,0.36363636363636365,0.5950413223140495,,439.65999999999997,,54499.74,18506.234999999997,6
2014-04-21,7.0625,0.68359375,108073.87500405312,-0.10416666666666667,0.8016493055555557,314.0,1047.7030000000002,25.68570302565376,0.3958333333333333,0.6141493055555555,,1035.537,,57842.399000000005,20281.721,0
2014-04-22,7.1568627450980395,0.8773548635140331,119471.01600432396,-0.0784313725490196,0.8565936178392928,274.0,1047.7030000000002,28.556174350162742,0.45098039215686275,0.6789696270665129,1216.317,1074.76,,63498.128,20515.595,1
2014-04-23,7.111111111111111,0.9135802469135805,128080.25500369073,-0.1111111111111111,0.9135802469135804,328.0,,30.378695011319767,0.42592592592592593,0.688957475994513,1276.996,,,68323.731,22256.583,2
2014-04-24,7.017241379310345,0.9824613555291322,137554.91800427437,-0.20689655172413793,0.9916765755053507,283.0,1155.273,32.4370283446531,0.3793103448275862,0.6837098692033292,,1701.89,,75406.07500000001,22747.023,3
2014-04-25,6.967213114754099,1.0153184627788228,145056.9090037346,-0.21311475409836064,0.9873689868314969,284.0,2253.588,33.762028344653096,0.3442622950819672,0.6847621607094867,1276.996,,1068.5190000000002,79168.109,22747.023,4
2014-04-26,6.96875,0.9677734375,152393.08900380135,-0.1875,0.96484375,289.0,,35.814456264327006,0.375,0.671875,,,,82986.411,24900.002,5
2014-04-27,7.0,0.9411764705882353,155673.36400437355,-0.17647058823529413,0.9394463667820069,289.0,2439.1120000000005,36.00577857837659,0.4117647058823529,0.7128027681660899,1282.137,,,85321.71599999999,,6
2014-04-28,7.013888888888889,0.9303626543209877,168973.3440029621,-0.18055555555555555,0.925733024691358,354.0,2815.1330000000007,38.91740322823654,0.4166666666666667,0.6874999999999999,1282.137,1723.144,1243.015,94937.18899999998,24900.002,0
2014-04-29,6.9605263157894735,1.0642313019390581,179948.3110024929,-0.2236842105263158,0.9894390581717452,372.0,3022.9390000000003,40.90851893071587,0.35526315789473684,0.8079986149584487,,1723.144,1870.919,102195.209,25520.472,1
2014-04-30,6.95,1.0225000000000002,193362.89600133896,-0.1875,1.00234375,377.0,,43.346364446280596,0.3375,0.7735937500000001,,1840.341,2030.123,109825.461,,2
2014-05-01,6.9523809523809526,0.9977324263038551,205108.375,-0.23809523809523808,1.0385487528344672,332.0,,45.437309419311134,0.3333333333333333,0.7936507936507937,1452.5120000000002,2041.3440000000003,,116761.32299999999,27658.982000000004,3
2014-05-02,6.942528735632184,0.9737085480248383,211398.6050004959,-0.26436781609195403,1.045052186550403,407.0,3146.4550000000004,48.731607664925164,0.3218390804597701,0.7699828246796139,1452.5120000000002,2399.3509999999997,,121033.378,27788.483,4
2014-05-03,6.912087912087912,0.9812824538099264,222844.2700004578,-0.26666666666666666,1.0177777777777777,344.0,3215.474,50.15382988714738,0.3111111111111111,0.7476543209876542,,,2258.05,125898.803,29529.489,5
